location,summer_dhd50_max,predicted_change,lower_bound,upper_bound
Jurien,78.66660066,-4.135652592,-9.182306416,-0.809874529
Jurien,78.88153406,-4.165963086,-9.228107136,-0.827064188
Jurien,79.09646747,-4.196273579,-9.273907856,-0.844253847
Jurien,79.31140087,-4.226584073,-9.319708576,-0.864219631
Jurien,79.52633428,-4.256894567,-9.365509296,-0.88529922
Jurien,79.74126768,-4.28720506,-9.411310016,-0.900627714
Jurien,79.95620109,-4.317515554,-9.457110736,-0.915956207
Jurien,80.17113449,-4.347826047,-9.502911456,-0.931284701
Jurien,80.3860679,-4.378136541,-9.548712176,-0.946637728
Jurien,80.6010013,-4.408447035,-9.594512896,-0.963647079
Jurien,80.81593471,-4.438757528,-9.640313616,-0.980656431
Jurien,81.03086811,-4.469068022,-9.686114336,-0.997665782
Jurien,81.24580152,-4.499378516,-9.731915056,-1.014675134
Jurien,81.46073492,-4.529689009,-9.777715776,-1.031684485
Jurien,81.67566833,-4.559999503,-9.823516496,-1.048693837
Jurien,81.89060173,-4.590309997,-9.869317216,-1.065703188
Jurien,82.10553514,-4.62062049,-9.915117936,-1.08271254
Jurien,82.32046854,-4.650930984,-9.960918656,-1.099721891
Jurien,82.53540195,-4.681241477,-10.00671938,-1.116731243
Jurien,82.75033535,-4.711551971,-10.05166837,-1.133740594
Jurien,82.96526876,-4.741862465,-10.09645163,-1.150749946
Jurien,83.18020216,-4.772172958,-10.14123489,-1.167759297
Jurien,83.39513557,-4.802483452,-10.18601815,-1.184768648
Jurien,83.61006897,-4.832793946,-10.2308014,-1.201928879
Jurien,83.82500238,-4.863104439,-10.27558466,-1.219131209
Jurien,84.03993578,-4.893414933,-10.32036792,-1.236333539
Jurien,84.25486919,-4.923725426,-10.36523005,-1.253535868
Jurien,84.46980259,-4.95403592,-10.41593532,-1.273843485
Jurien,84.684736,-4.984346414,-10.46503229,-1.296698138
Jurien,84.8996694,-5.014656907,-10.51098486,-1.31711995
Jurien,85.11460281,-5.044967401,-10.55693742,-1.333122481
Jurien,85.32953621,-5.075277895,-10.60288999,-1.349125011
Jurien,85.54446962,-5.105588388,-10.64884256,-1.365127542
Jurien,85.75940302,-5.135898882,-10.69479512,-1.381197809
Jurien,85.97433643,-5.166209376,-10.74074769,-1.398106513
Jurien,86.18926983,-5.196519869,-10.78670026,-1.420384302
Jurien,86.40420324,-5.226830363,-10.83265282,-1.442662091
Jurien,86.61913664,-5.257140856,-10.87860539,-1.46493988
Jurien,86.83407005,-5.28745135,-10.92455795,-1.48721767
Jurien,87.04900345,-5.317761844,-10.97051052,-1.509495459
Jurien,87.26393686,-5.348072337,-11.01646309,-1.531773248
Jurien,87.47887026,-5.378382831,-11.06241565,-1.55405761
Jurien,87.69380367,-5.408693325,-11.10836822,-1.576362349
Jurien,87.90873707,-5.439003818,-11.15432079,-1.598667089
Jurien,88.12367048,-5.469314312,-11.20155069,-1.620971828
Jurien,88.33860388,-5.499624805,-11.25304313,-1.643477223
Jurien,88.55353729,-5.529935299,-11.30453557,-1.665997733
Jurien,88.76847069,-5.560245793,-11.35602801,-1.688518243
Jurien,88.9834041,-5.590556286,-11.40752045,-1.711038753
Jurien,89.1983375,-5.62086678,-11.45901289,-1.733559263
Jurien,89.41327091,-5.651177274,-11.51050533,-1.756079773
Jurien,89.62820431,-5.681487767,-11.55299813,-1.778600283
Jurien,89.84313772,-5.711798261,-11.59277264,-1.801120793
Jurien,90.05807112,-5.742108755,-11.63254715,-1.823641303
Jurien,90.27300453,-5.772419248,-11.67232166,-1.846161813
Jurien,90.48793793,-5.802729742,-11.71209616,-1.868682323
Jurien,90.70287134,-5.833040235,-11.76038926,-1.891202833
Jurien,90.91780474,-5.863350729,-11.814633,-1.913723343
Jurien,91.13273815,-5.893661223,-11.86887674,-1.936243853
Jurien,91.34767155,-5.923971716,-11.92312048,-1.958764363
Jurien,91.56260496,-5.95428221,-11.97736422,-1.981284873
Jurien,91.77753836,-5.984592704,-12.03160796,-2.003805383
Jurien,91.99247177,-6.014903197,-12.0858517,-2.026325893
Jurien,92.20740517,-6.045213691,-12.14009544,-2.048846403
Jurien,92.42233858,-6.075524185,-12.19433918,-2.073592465
Jurien,92.63727198,-6.105834678,-12.24847572,-2.099195751
Jurien,92.85220539,-6.136145172,-12.30243752,-2.124799036
Jurien,93.06713879,-6.166455665,-12.35639932,-2.150402321
Jurien,93.2820722,-6.196766159,-12.40487193,-2.176005606
Jurien,93.4970056,-6.227076653,-12.44573971,-2.201608891
Jurien,93.71193901,-6.257387146,-12.48660748,-2.227212176
Jurien,93.92687241,-6.28769764,-12.52747526,-2.252815461
Jurien,94.14180581,-6.318008134,-12.56834303,-2.274485653
Jurien,94.35673922,-6.348318627,-12.60921081,-2.292648352
Jurien,94.57167262,-6.378629121,-12.65007858,-2.31081105
Jurien,94.78660603,-6.408939614,-12.69094635,-2.328973749
Jurien,95.00153943,-6.439250108,-12.73181413,-2.347136447
Jurien,95.21647284,-6.469560602,-12.7726819,-2.365299146
Jurien,95.43140624,-6.499871095,-12.81354968,-2.385408498
Jurien,95.64633965,-6.530181589,-12.85441745,-2.407738224
Jurien,95.86127305,-6.560492083,-12.89528523,-2.43006795
Jurien,96.07620646,-6.590802576,-12.93614726,-2.452397675
Jurien,96.29113986,-6.62111307,-12.97695239,-2.474727401
Jurien,96.50607327,-6.651423564,-13.01775753,-2.497082624
Jurien,96.72100667,-6.681734057,-13.05856266,-2.519557912
Jurien,96.93594008,-6.712044551,-13.0992658,-2.542100267
Jurien,97.15087348,-6.742355044,-13.139873,-2.564642622
Jurien,97.36580689,-6.772665538,-13.1804802,-2.587184977
Jurien,97.58074029,-6.802976032,-13.22108739,-2.609727332
Jurien,97.7956737,-6.833286525,-13.26632838,-2.632269687
Jurien,98.0106071,-6.863597019,-13.31210727,-2.657840785
Jurien,98.22554051,-6.893907513,-13.35788615,-2.684296023
Jurien,98.44047391,-6.924218006,-13.40366504,-2.71075126
Jurien,98.65540732,-6.9545285,-13.44944393,-2.737206498
Jurien,98.87034072,-6.984838993,-13.49522282,-2.763661736
Jurien,99.08527413,-7.015149487,-13.54100171,-2.790116973
Jurien,99.30020753,-7.045459981,-13.5867806,-2.816572211
Jurien,99.51514094,-7.075770474,-13.63255949,-2.843027449
Jurien,99.73007434,-7.106080968,-13.67833838,-2.864715267
Jurien,99.94500775,-7.136391462,-13.72411726,-2.881505366
Jurien,100.1599412,-7.166701955,-13.76989615,-2.898295465
Jurien,100.3748746,-7.197012449,-13.81567504,-2.915085564
Jurien,100.589808,-7.227322943,-13.86145393,-2.931977887
Jurien,100.8047414,-7.257633436,-13.90723282,-2.956751487
Jurien,101.0196748,-7.28794393,-13.95301171,-2.985434228
Jurien,101.2346082,-7.318254423,-13.9987906,-3.007821446
